timestamp,provider_id,provider_name,category,image_id,run_number,e2e_ms,inference_ms,throughput,ram_peak_mb,energy_mwh,model_size_mb,total_tokens,cost_usd,caption_text,model_name,success,error
2025-12-22 00:27:01,florence2_onnx_local,Florence-2 (Local),Local,000000009891,1,8277.524063,7849.089296,0.12080907193854447,74.57144165039062,,215.06091213226318,11,,A  couple  of  men  loading  luggage  onto  a  car .,Florence-2-base,1,
2025-12-22 00:27:08,florence2_onnx_local,Florence-2 (Local),Local,000000009891,2,7103.131367,7088.254296,0.14078297983419516,33.46485900878906,30.717712799999997,215.06091213226318,11,,A  couple  of  men  loading  luggage  onto  a  car .,Florence-2-base,1,
2025-12-22 00:27:15,florence2_onnx_local,Florence-2 (Local),Local,000000009891,3,7134.263242,7116.806758000001,0.14016864335940354,49.32081604003906,,215.06091213226318,11,,A  couple  of  men  loading  luggage  onto  a  car .,Florence-2-base,1,
2025-12-22 00:27:22,florence2_onnx_local,Florence-2 (Local),Local,000000009891,4,7241.018789,7224.419023,0.1381021136858702,34.42308044433594,,215.06091213226318,11,,A  couple  of  men  loading  luggage  onto  a  car .,Florence-2-base,1,
2025-12-22 00:27:30,florence2_onnx_local,Florence-2 (Local),Local,000000009891,5,7232.607187,7161.094413999999,0.13826272796861075,7.4575347900390625,,215.06091213226318,11,,A  couple  of  men  loading  luggage  onto  a  car .,Florence-2-base,1,
2025-12-21 19:47:46,florence2_onnx_local,Florence-2 (Local),Local,000000001000,1,6644.947422,6285.367187,0.150490280282612,74.49331665039062,,215.06091213226318,14,,A  group  of  people  posing  for  a  photo  on  a  tennis  court .,Florence-2-base,1,
2025-12-21 19:47:51,florence2_onnx_local,Florence-2 (Local),Local,000000001000,2,5017.076484,5006.381095,0.19931926555018809,21.381454467773438,,215.06091213226318,14,,A  group  of  people  posing  for  a  photo  on  a  tennis  court .,Florence-2-base,1,
2025-12-21 19:47:57,florence2_onnx_local,Florence-2 (Local),Local,000000001000,3,6208.027461,6192.199140000001,0.1610817616839147,36.9901123046875,29.874402000000003,215.06091213226318,14,,A  group  of  people  posing  for  a  photo  on  a  tennis  court .,Florence-2-base,1,
2025-12-21 19:48:04,florence2_onnx_local,Florence-2 (Local),Local,000000001000,4,6541.80621,6529.2863290000005,0.15286298124688716,15.761764526367188,,215.06091213226318,14,,A  group  of  people  posing  for  a  photo  on  a  tennis  court .,Florence-2-base,1,
2025-12-21 19:48:11,florence2_onnx_local,Florence-2 (Local),Local,000000001000,5,6878.201602,6863.844961,0.14538684061095655,36.9588623046875,,215.06091213226318,14,,A  group  of  people  posing  for  a  photo  on  a  tennis  court .,Florence-2-base,1,
2025-12-21 19:48:46,florence2_onnx_local,Florence-2 (Local),Local,000000001268,1,7761.646836,7387.0089849999995,0.1288386370997723,78.59097290039062,,215.06091213226318,20,,A  woman  taking  a  picture  of  a  sw an  and  a  group  of  people  sitting  on  the  shore .,Florence-2-base,1,
2025-12-21 19:48:53,florence2_onnx_local,Florence-2 (Local),Local,000000001268,2,6183.767617,6171.482852,0.16171370949497954,42.089996337890625,,215.06091213226318,20,,A  woman  taking  a  picture  of  a  sw an  and  a  group  of  people  sitting  on  the  shore .,Florence-2-base,1,
2025-12-21 19:49:00,florence2_onnx_local,Florence-2 (Local),Local,000000001268,3,6709.185078,6696.852109,0.14904939845512485,28.004653930664062,44.729766000000005,215.06091213226318,20,,A  woman  taking  a  picture  of  a  sw an  and  a  group  of  people  sitting  on  the  shore .,Florence-2-base,1,
2025-12-21 19:49:07,florence2_onnx_local,Florence-2 (Local),Local,000000001268,4,7409.957578,7397.730701999999,0.13495353913617236,22.738937377929688,,215.06091213226318,20,,A  woman  taking  a  picture  of  a  sw an  and  a  group  of  people  sitting  on  the  shore .,Florence-2-base,1,
2025-12-21 19:49:15,florence2_onnx_local,Florence-2 (Local),Local,000000001268,5,7802.20539,7787.327695,0.12816888943755428,15.761764526367188,,215.06091213226318,20,,A  woman  taking  a  picture  of  a  sw an  and  a  group  of  people  sitting  on  the  shore .,Florence-2-base,1,
2025-12-21 19:49:53,florence2_onnx_local,Florence-2 (Local),Local,000000001296,1,9600.517734,9108.644062000001,0.10416104919618287,78.61831665039062,,215.06091213226318,10,,A  woman  holding  up  a  Hello  Kitty  sign .,Florence-2-base,1,
2025-12-21 19:50:00,florence2_onnx_local,Florence-2 (Local),Local,000000001296,2,6826.432812,6810.206328,0.14648939314866283,31.246109008789062,44.729766000000005,215.06091213226318,10,,A  woman  holding  up  a  Hello  Kitty  sign .,Florence-2-base,1,
2025-12-21 19:50:07,florence2_onnx_local,Florence-2 (Local),Local,000000001296,3,6907.660078,6889.540235,0.14476682244178027,15.761764526367188,,215.06091213226318,10,,A  woman  holding  up  a  Hello  Kitty  sign .,Florence-2-base,1,
2025-12-21 19:50:14,florence2_onnx_local,Florence-2 (Local),Local,000000001296,4,7105.251133,7087.800155999999,0.14074097892973095,15.761764526367188,,215.06091213226318,10,,A  woman  holding  up  a  Hello  Kitty  sign .,Florence-2-base,1,
2025-12-21 19:50:22,florence2_onnx_local,Florence-2 (Local),Local,000000001296,5,7342.427578,7323.169375000001,0.1361947379632704,15.761764526367188,,215.06091213226318,10,,A  woman  holding  up  a  Hello  Kitty  sign .,Florence-2-base,1,
